               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.094969,             0.09576,                   0,            0.035085,            0.088235,            0.014581,           0.0046442,             0.10439,             0.10608,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.099162,            0.098535,                   0,            0.035085,            0.088235,            0.014581,           0.0046442,             0.10439,             0.10608,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,             0.10181,             0.10121,                   0,            0.035085,            0.088235,            0.014581,           0.0046442,             0.10439,             0.10608,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,            0.095599,            0.091271,                   0,            0.020408,             0.26471,             0.01151,           0.0037439,              0.1069,             0.14295,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,            0.099333,            0.096074,                   0,            0.020408,             0.26471,             0.01151,           0.0037439,              0.1069,             0.14295,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.098548,            0.085983,                   0,            0.020408,             0.26471,             0.01151,           0.0037439,              0.1069,             0.14295,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.096809,             0.09896,                   0,            0.031606,             0.20588,             0.01646,           0.0048194,             0.10238,             0.11843,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,             0.08869,            0.071438,                   0,            0.031606,             0.20588,             0.01646,           0.0048194,             0.10238,             0.11843,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,            0.096882,            0.091578,                   0,            0.031606,             0.20588,             0.01646,           0.0048194,             0.10238,             0.11843,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,            0.098488,             0.10623,                   0,              0.0347,             0.23529,            0.017162,           0.0049964,             0.10278,             0.11716,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.099443,              0.1093,                   0,              0.0347,             0.23529,            0.017162,           0.0049964,             0.10278,             0.11716,                   0,            0.009406,            0.009406,            0.009406
                  62,            0.098338,            0.088561,                   0,              0.0347,             0.23529,            0.017162,           0.0049964,             0.10278,             0.11716,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.096688,            0.086912,                   0,            0.027266,             0.19118,            0.013567,           0.0042368,             0.10354,             0.13016,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,             0.09851,             0.11511,                   0,            0.027266,             0.19118,            0.013567,           0.0042368,             0.10354,             0.13016,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.094198,            0.087733,                   0,            0.027266,             0.19118,            0.013567,           0.0042368,             0.10354,             0.13016,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,            0.093868,            0.079949,                   0,            0.030073,             0.11765,            0.012841,           0.0037431,             0.10193,             0.16724,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,            0.094886,            0.083251,                   0,            0.030073,             0.11765,            0.012841,           0.0037431,             0.10193,             0.16724,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,              0.0914,            0.092478,                   0,            0.030073,             0.11765,            0.012841,           0.0037431,             0.10193,             0.16724,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.094831,            0.084828,                   0,            0.030073,             0.11765,            0.012841,           0.0037431,             0.10193,             0.16724,                   0,           0.0093268,           0.0093268,           0.0093268
